"Name","ID","Version","Vendor","InstallDate"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664",,"12.0.40664","Microsoft Corporation","20240223"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)",,"64.136.23253","Microsoft Corporation","20250413"
"Microsoft .NET Host - 8.0.17 (x64)",,"64.68.34370","Microsoft Corporation","20250610"
"Microsoft .NET Host FX Resolver - 6.0.33 (x64)",,"48.132.18378","Microsoft Corporation","20240814"
"Epic Games Launcher Prerequisites (x64)",,"1.0.0.0","Epic Games, Inc.","20210620"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)",,"18.0.9617","Microsoft Corporation","20250413"
"Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)",,"9.0.4.0","Microsoft Corporation","20250416"
"HP Audio Switch",,"1.0.179.0","HP Inc.","20201107"
"Java 8 Update 351 (64-bit)",,"8.0.3510.10","Oracle Corporation","20221113"
"Microsoft.iOS.Sdk.net9.0_18.0 (x64)",,"18.0.9617.0","Microsoft Corporation","20250416"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)",,"72.48.34242","Microsoft Corporation","20250610"
"Microsoft .NET Host FX Resolver - 6.0.36 (x64)",,"48.144.23141","Microsoft Corporation","20241116"
"Vagrant",,"2.4.3","HashiCorp","20241123"
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)",,"15.0.9617","Microsoft Corporation","20250413"
"Microsoft.iOS.Templates (x64)",,"18.4.9288.0","Microsoft Corporation","20250416"
"Microsoft.NET.Sdk.WebAssembly.Pack (x64)",,"9.0.4.0","Microsoft Corporation","20250415"
"Microsoft.Android.Runtime.35.android-arm (x64)",,"35.0.61.0","Microsoft Corporation","20250416"
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)",,"8.0.15.0","Microsoft Corporation","20250416"
"Microsoft.NETCore.App.Runtime.Mono.browser-wasm (x64)",,"9.0.4.0","Microsoft Corporation","20250415"
"Microsoft.Android.Runtime.35.android-x86 (x64)",,"35.0.61.0","Microsoft Corporation","20250416"
"Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)",,"8.0.15.0","Microsoft Corporation","20250416"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)",,"18.0.9617","Microsoft Corporation","20250413"
"Microsoft .NET Toolset 9.0.205 (x64)",,"36.9.53273","Microsoft Corporation","20250610"
"Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)",,"8.0.15.0","Microsoft Corporation","20250416"
"Epic Games Launcher",,"1.2.17.0","Epic Games, Inc.","20210620"
"Microsoft Windows Desktop Runtime - 6.0.33 (x64)",,"48.132.18374","Microsoft Corporation","20240814"
"Python Launcher",,"3.9.7427.0","Python Software Foundation","20210614"
"JetBrains ETW Host Service (x64)",,"16.43.0","JetBrains s.r.o.","20250420"
"Microsoft ASP.NET Core 9.0.6 Shared Framework (x64)",,"9.0.6.25267","Microsoft Corporation","20250610"
"Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)",,"9.0.4.0","Microsoft Corporation","20250416"
"Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)",,"9.0.4.0","Microsoft Corporation","20250416"
